,C5,C4,C3,C2,C1
1973-01-18,0.4430191,0.052113444,0.40842232,2.2937756,0.15732825
1973-01-19,0.42123798,0.076685056,0.43545434,2.299714,0.13468008
1973-01-22,0.42002904,0.12306667,0.4420892,2.3003683,0.11993287
1973-01-23,0.39887542,0.08472368,0.4137435,2.3082337,0.12727104
1973-01-24,0.37920254,0.03517297,0.4344129,2.3148084,0.11152032
1973-01-25,0.36205536,0.12173535,0.44551325,2.3184855,0.09538326
1973-01-26,0.2864763,-0.022420123,0.4191349,2.345383,0.06797205
1973-01-29,0.2815176,-0.048538774,0.39791465,2.350603,0.05470884
1973-01-30,0.29035312,-0.05905974,0.39470434,2.3485196,0.058784597
1973-01-31,0.28361356,-0.06513193,0.40993077,2.348426,0.05983576
1973-02-01,0.23386747,-0.08060907,0.56971705,2.3441372,0.024912305
1973-02-02,0.24422383,-0.1320446,0.5622368,2.3454175,0.0051624626
1973-02-05,0.26538414,-0.10908605,0.5450005,2.3416967,0.0029925108
1973-02-06,0.2783512,-0.14947915,0.5395018,2.3403735,0.0022225752
